Site,annee,SM_Mini,Date_pose,Longitude,Latitude,Altitude,Orientation,Hauteur,Espece,DBH,Date_maintenance,Fuseau_horaire_maintenance,Date_recup,Fuseau_horaire_recup
RNN_Massane,2024,SMA12455,08/03/2024,3.0316666666666667,42.4908333,680,150,39,Fagus sylvatica,20,21/06/2024,UTC+2,30/09/2024,UTC+2
RNR_Ravin_deValbois,2024,SMA12620,08/03/2024,6.104649,47.079035,480,150,12345.6789,Frene (Fraxinus excelsior),72,04/07/2024,UTC+2,08/10/2024,-1h
RBI_Bois_Loch,2024,SMA13394,20/02/2024,-4.329646,48.287349,71,150,11600,Chene,54,06/06/2024,UTC+2,01/10/2024,UTC+2
Foret_Mas_Azil,2024,SMA13565,28/02/2024,1.401249,43.055165,480,210,121,hetre,19,12/06/2024,minutes,07/10/2024,UTC+2
Massif_Buno_Bonnevaux,2024,SMA13582,23/02/2024,2.400875,48.342496,111,130,37,Chene,75,04/06/2024,12h au lieu de 16h,27/09/2024,NA
RNR_Combe_Lavaux_Jean_Roland,2024,SMA13584,20/02/2024,4.9315863,47.2304539,485,175,100,Chene sessile,22,28/05/2024,UTC+2,01/10/2024,UTC+2
RNR_Joreau,2024,SMA14146,28/02/2024,-0.224307,47.318693,74,200,80,Quercus robur,38,04/06/2024,NA,01/10/2024,UTC+2
RNR_Baie_Canche,2024,SMA16304,29/02/2024,1.63409,50.54100,55,165,81,Pin Maritime,20,14/06/2024,minutes,09/10/2024,UTC+2
RNN_Foret_Orient,2024,SMA16445,08/02/2024,4.419555555555556,48.31975,143,140,90,Chene,23,NA,UTC+2,07/10/2024,UTC+2
Massif_de_Cagna,2024,SMA16672,15/02/2024,9.09529,41.57495,826,150,93,Pin maritime (mort),17,03/06/2024,UTC+2,21/10/2024,UTC+2
RNR_Val_Suzon,2024,SMA16778,01/03/2024,4.90780176,47.4273756,491.84,150,72,Tilleul,16,11/06/2024,UTC+2,07/10/2024,UTC+2
Reserve_integrale_pn_forets,2024,SMA16779,27/02/2024,4.99270,48.00432,329,167,160,charme,16,31/05/2024,UTC+2,01/10/2024,UTC+2
RNR_Clairiere_forestiere_Bresolettes,2024,SMA16780,07/03/2024,0.60872,48.6092160,297,160,94,Merisier,14.32,20/06/2024,UTC+2,07/10/2024,UTC+1
RNN_Truchere_Ratenelle,2024,SMA16781,20/02/2024,4.9671,46.5246,174,180,90,Tremble (Populus tremula),22,14/06/2024,UTC+2,01/10/2024,UTC+2
Gorges_de_la_Sioule,2024,SMA16782,20/02/2024,2.87948,46.00910,507,180,90,Chene sessile,23,10/06/2024,UTC+2,02/10/2024,UTC+2
RBI__de_Lonca_Lindinosa,2024,SMA16783,20/02/2024,8.79642,42.29541,965,150,124,Pin laricio de Corse,20.5,07/06/2024,UTC+2,09/10/2024,UTC+2
Territoire_Trois_Fontaines,2024,SMA16787,08/03/2024,4.9336,48.7122,190,137,147,Hetre,20,30/05/2024,UTC+2,02/10/2024,UTC+2
Domaine_Praillebard,2024,SMA16788,29/02/2024,4.90980,45.94580,293,130,352,Piquet,12,06/06/2024,UTC+2,04/10/2024,UTC+2
RBI_Saint_Aignan,2024,SMA16790,01/03/2024,-3.079256,48.202767,296,140,83.7,Bouleau pubescent,20,03/06/2024,UTC+2,NA,NA
RNN_Tourbiere_Dauges,2024,SMA16791,28/02/2024,1.41495,46.00695,625,170,225,Chene,18,06/06/2024,UTC+2,07/10/2024,UTC+2
RNN_Etang_Cousseau,2024,SMA16823,24/02/2024,-1.142800,45.024310,20,180,92,Chene pedoncule,30,18/06/2024,UTC+2,01/10/2024,UTC+2
Foret_Crecy,2024,SMA16832,29/02/2024,1.830027,50.22955,8,150,55,charme,18,24/06/2024,UTC+2,01/10/2024,UTC+2
ENS_Eperlecques,2024,SMA16834,22/02/2024,2.188911,50.831897,60.64,214,104,Hetre,19.42,14/06/2024,UTC+2,04/10/2024,UTC+2
RNN_Bois_Parc,2024,SMA16837,28/02/2024,3.649250464162278,47.58459291225547,166,153,43,chene sessile,20.4,06/06/2024,UTC+2,02/10/2024,UTC+2
Foret_Grand_Orient,2024,SMA16841,20/02/2024,4.410722222222223,48.2906111,168,138,80,Charme,25,NA,UTC+2,27/09/2024,UTC+2
Dunes_Mont_Saint_Frieux,2024,SMA16845,27/02/2024,1.60587,50.60196,34,160,124,Erable sycomore,21,14/06/2024,UTC+2,NA,NA
RNR_gorges_Daluis,2024,SMA16850,05/03/2024,6.87718,44.03330,1431,170,202,Pin sylvestre,20,21/06/2024,UTC+2,10/10/2024,UTC+2
Foret_Montmain,2024,SMA16856,20/02/2024,4.3200,46.9183,563,180,90,Cha¢taigner,21,13/06/2024,UTC+2,30/09/2024,UTC+2
RNCFS_Chambord,2024,SMA16890,01/03/2024,1.495277777777778,47.5927778,87,165,13,Bouleau verruqueux (Betula verrucosa),45,06/06/2024,UTC+2,01/10/2024,UTC+2
RBI_du_Cheiron,2024,SMA17028,06/03/2024,6.99365,43.83112,1365,140,336,Sapin pectine,13,13/06/2024,UTC+2,22/10/2024,UTC+2
PN_Mercantour_Vesubie,2024,SMA17029,13/03/2024,7.44748,43.91413,916,180,97,Charme houblon (Ostrya carpinifolia),20,05/07/2024,UTC+2,15/11/2024,UTC+2
RNCFS_Petite_Pierre,2024,SMA17031,29/02/2024,7.34087,48.83443,340,1.60,88,pin sylvestre,160,30/05/2024,UTC+2,17/10/2024,UTC+2
Foret_de_la_Fontasse,2024,SMA17032,22/02/2024,5.5064166666666665,43.2090833,149,113,130,Pin d'Alep,15.76,06/06/2024,UTC+2,04/10/2024,UTC+2
RBI_de_la_Sainte_Baume,2024,SMA17068,23/02/2024,5.753,43.328,732,120,90,Fagus sylvatica,15,06/06/2024,UTC+2,01/10/2024,UTC+2
ENS_Var_Siounet,2024,SMA17069,28/02/2024,6.47543,43.71807,971,155,92,Fagus sylvatica,22,23/05/2024,UTC+2,01/10/2024,UTC+2
RNR_Coteaux_Fel,2024,SMA17071,29/02/2024,2.523971,44.658103,436,150,344.4,Chene sessile,30,07/06/2024,UTC+2,14/10/2024,UTC+2
RNN_Hourtin,2024,SMA17072,29/02/2024,-1.137895,45.204749,25,140,140,Chene pedoncule,21,04/07/2024,UTC+1,05/11/2024,UTC+2
RNCFS_Caroux_Espinouse,2024,SMA17073,29/02/2024,2.916975,43.611774,1032,150,184,Sapin pectine,20,05/06/2024,UTC+2,17/10/2024,UTC+2
RBM_Porge,2024,SMA17074,28/02/2024,-1.195,44.8563889,20,150,86,"Pin Maritime ""Pinus Pinaster""",20,31/05/2024,UTC+2,30/09/2024,UTC+2
Chateau_Alibieres,2024,SMA17075,28/02/2024,2.89911,43.50014,674,145,137,Chataignier,22,12/06/2024,UTC+2,09/10/2024,17065
RNR_Mont_Avaloirs,2024,SMA17079,27/02/2024,-0.149534,48.457600,345,220,175,bouleau,25,06/06/2024,UTC+2,10/10/2024,UTC+2
RBD_saint_guilhem_le_desert,2024,SMA17080,01/03/2024,3.578895,43.780768,470,150,90,chene pubescent,20,11/06/2024,UTC+2,NA,NA
RNN_Carlaveyron,2024,SMA17084,14/02/2024,6.78679799,45.93227052,1245,150,283,Hetre,21,06/06/2024,UTC+2,NA,NA
ENS_Var_Sioublanc,2024,SMA17097,29/02/2024,5.854055,43.263454,619,150,73,Quercus pubescens,230,21/05/2024,UTC+2,07/10/2024,UTC+2
Borie_du_pont,2024,SMA17101,27/02/2024,3.51543,44.08444,1290,160,30,hetre,19,NA,UTC+2,NA,NA
RBI_Chize,2024,SMA17105,22/02/2024,-0.427757,46.117867,79,124,107,hetre,19.8,20/06/2024,UTC+1,10/10/2024,2MA00367
PN_Mercantour_Sanguiniere_Roche_Trouee,2024,SMA17106,06/03/2024,6.78272087,44.24683625,2257,150,120,Meleze,20,12/06/2024,UTC+2,30/09/2024,UTC+2
RBI_de_Campagne,2024,SMA17108,01/03/2024,0.980092,44.89849553,238,150,90,chene pubescent,20,NA,UTC+2,NA,NA
Haute_vallee_de_la_Dronne,2024,SMA17109,29/02/2024,0.89324,45.60415,309,150,78,Chene,21.5,04/06/2024,UTC+2,30/09/2024,UTC+2
ZSC_ZPS_Corbieres,2024,SMA17110,07/03/2024,2.53108,42.91679,780,179,90,Hetre commun,57,06/06/2024,UTC+2,04/10/2024,UTC+2
Mont_Lozere,2024,SMA17111,29/02/2024,3.608561,44.462620,1365,170,128,Pin sylvestre,21,28/05/2024,UTC+2,01/10/2024,UTC+2
Triage_seignosse,2024,SMA17112,28/03/2024,-1.426647,43.717131,5,175,225,Chene liege,12.00,09/07/2024,UTC+2,29/11/2024,UTC+2
Massif_de_la_Clap,2024,SMA17113,06/03/2024,3.1209286,43.1352546,30,200,259,Pin d'Alep endemique du massif de la Clape,30,27/06/2024,UTC+2,19/11/2024,UTC+2
RBM Sainte-Baume,2025,SMA17068,30/01/2025,5.753,43.328,732,92,120,Fagus sylvatica,15,,,,
RNR coteaux du fel,2025,2MA00482,04/02/2025,44.657861,2.523808,430,0,1.5,Chene sessile,0.25,,,,
RNN Foret d'Orient,2025,SMA16445,03/02/2025,48.19110,4.25103,143,90,140,chene,23,,,,
Foret du Conservatoire du Littoral,2025,SMA16841,03/02/2025,48.17261,4.24385,168,80,130,Charme,25,,,,
RBI Vercors,2025,2MA00267,06/02/2025,5.45768,44.92651,1427,2,150,SAPIN,14,,,,
RBI CHAUX,2025,2MA00395,10/02/2025,5.721248,47.099101,268,90,160,Alnus glutinosa,19,,,,
Torrent des Faisans,2025,2MA00419,10/02/2025,44.72813,7.00013,1978,170,200,Peuplier tremble,20,,,,
Sanguiniere - Roche Trouee,2025,SMA17106,10/02/2025,6.78272087,44.24683625,2257,96,200,Meleze,20,,,,
Foret communale du Mas d'Azil,2025,SMA13565,11/02/2025,1.40121,43.05505,480,121,2.1,hetre,20.5,,,,
ENS de la Foret d'Eperlecques,2025,SMA16834,11/02/2025,2.188911,50.831897,60.64,104,214,Hetre,19.4,,,,
RNR des Landes de Monteneuf,2025,2MA00557,11/02/2025,-2.190738,47.8839,135,13,165,Chene,18,,,,
RNN etang de Cousseau,2025,SMA16823,11/02/2025,-1.142800,45.024310,20,92,180,Chene pedoncule,30,,,,
Vallee du Fossat,2025,2MA02949,11/02/2025,3.7914550,45.6541150,1320,10,22,Hetre,16,,,,
Foret communale de Montecheroux,2025,2MA00474,11/02/2025,6.7812,47.30608,811,150,170,Hetre,23,,,,
Foret communale d'Indevillers,2025,2MA00323,11/02/2025,6.97048,47.29742,730,60,170,Sapin pectine,20,,,,
RNR Massif du Montious,2025,2MA00397,11/02/2025,N 42Â°52.1921,E 000Â°26.2791,1814,320,200,Sapin,18,,,,
Foret territoriale (regionale) de Lonca,2025,SMA16783,11/02/2025,8.79642,42.29541,965,124,150,Pin laricio de Corse,20.5,,,,
Chalet du fer RNN Carlaveyron,2025,SMA17084,10/02/2025,"45,9322705","6,78679798",1245,283,150,Hetre,21,,,,
RNR massif du Pibeste-Aoulhet,2025,2MA00487,13/02/2025,-0.170068,43.042127,1330,120,215,Hetre commun,25,,,,
Albieres,2025,SMA17075,13/02/2025,2.89911,43.50014,674,137,145,Chataignier,22,,,,
PNR GÃ¢tinais,2025,SMA13582,13/02/2025,48.3424852,2.4008939,114,174,165,Chene,40,,,,
Domaine de Praillebard,2025,SMA16788,14/02/2025,4.90980,45.94580,293,352,130,Piquet,12,,,,
PNP- Ossau - Lavigne,2025,2MA00433,05/02/2025,-0.419375,42.883396,1403,320,1.80,fagus sylvatica,36.5,,,,
RBI OLERON,2025,2MA00491,14/02/2025,-01.2318480,45.83540470,10,133,150,PIN MARITIME,18,,,,
TEE Trois-Fontaines,2025,SMA16787,14/02/2025,4.9336,48.7122,190,147,137,Hetre,22.5,,,,
Reseau hydrographique de la haute Dronne,2025,SMA17109,13/02/2025,0.89323,45.60414,309,78,150,Chene pedoncule,21.5,,,,
PNR Pilat,2025,2MA03003,13/02/2025,4.49956,45.35073,1110,100,95,Sapin,25,,,,
Ile de Port-Cros,2025,SMA17107,17/02/2025,6.395416666666667,43.0008611,196,193,150,Chene vert,21,,,,
Foret du Conservatoire du Littoral - Dunes et Forets du Porge (33680 LE PORGE),2025,SMA17074,17/02/2025,1Â°11'42''O,"44Â°51'23""N",20,94,150,"Pin Maritime ""Pinus Pinaster""",20,,,,
RBI de l'Artoise,2025,2MA00409,17/02/2025,4.16284,49.92666,212,0,150,charme,0.2,,,,
Reserve biologique integrale du Mont-Ventoux,2025,2MA00663,18/02/2025,5.329296,44.166308,1283,105,160,Hetre (Fagus sylvatica),15,,,,
Reserve Naturelle Combe Lavaux-Jean Roalnd,2025,SMA 13584,18/02/2025,idem 2024,idem 2024,485,100,175,idem 2024,22,,,,
Foret de la Borie du Pont,2025,SMA17111,17/02/2025,3.51543,44.08444,1290,312,160,Fagus sylvatica,19,,,,
FONTAINEBLEAU RBI du Gros Fouteau,2025,2MA00413,19/02/2025,2.67733,48.42997,87,90,100,hetre,15,,,,
Reserve biologique integrale de Chize,2025,2MA00316,19/02/2025,46.11783,0.42769,77,117,123,HETRE,21.2,,,,
La Mey,2025,2MA00404,19/02/2025,45.712666,2.967068,1055,110,200,Hetre,22,,,,
RNR Etang et boisements de Joreau,2025,SMA14146,18/02/2025,-0.224307,47.318693,74,80,200,Quercus robur,38,,,,
Patouillet,2025,2MA02000,07/02/2025,2.26086,46.97450,132,70,175,Carpinus betulus,13,,,,
Val Suzon,2025,SMA16778,20/02/2025,4.90780175,47.4273755,49183,72,150,Tilleul,16,,,,
Reserve naturelle nationale de la Haute Chaine du Jura,2025,2MA00560,20/02/2025,6.07418,46.39600,1403,90,160,Hetre,0.23,,,,
Reserve Naturelle Regionale Clairiere forestiere de Bresolettes,2025,SMA16780,17/02/2025,0.60872,48.6092160,297,94,160,Merisier,14.32,,,,
Reserve biologique forestiere du Cheiron,2025,SMA17028,20/02/2025,6.99365,43.83112,1365,336,140,Abies alba,13,,,,
RNN de la vallee d'Eyne,2025,2MA00471,18/02/2025,2.10046,42.44766,2315,20,160,Pinus uncinata,56.5,,,,
Domaine national de Chambord,2025,SMA16890,21/02/2025,1.495277777777778,47.5927778,90,15,153,Chene pedoncule,55.7,,,,
RNN La Truchere-Ratenelle,2025,SMA16781,21/02/2025,4.9671,46.5246,174,90,180,Tremble (Populus tremula),22,,,,
Foret de Montmain,2025,SMA16856,20/02/2025,4.3200,46.9183,563,90,180,ChÃ¢taigner,21,,,,
RNN de la Vallee de Chaudefour,2025,2MA00383,21/02/2025,2.860424,45.536798,1308,107,165,Fagus sylvatica,30,,,,
Reserve integrale,2025,SMA16779,20/02/2025,48.00432,4.99270,329,160,167,charme,16,,,,
Mont Lozere,2025,SMA17340,20/02/2025,44.46261,3.60858,1371,141,133,Pin sylvestre,24.3,,,,
FD Orleans - Massif d'Ingrannes,2025,SMA13823,19/02/2025,2.24816,48.04593,151,51,170,hetre,22,,,,
RN Contamines Montjoie,2025,2MAOO438,24/02/2025,6.72521,45.78991,1612,12345.6789,200,Epicea,25,,,,
RNN de l'Etang de La Horre,2025,SMA08065,24/02/2025,4.67023,48.50200,120,55,170,Charme,20,,,,
Foret_de_la_Fontasse,2025,SMA17032,17/02/2025,5.5064166666666665,43.2090833,149,130,113,Pin d'Alep,16.23,,,,
Coteaux des gorges de la Bienne,2025,2MA02968,26/02/2025,5.95522,46.49882,828,100,150,Hetre,23,,,,
Coteaux des gorges de la Bienne,2025,2MA02968,26/02/2025,5.95522,46.49882,828,100,150,Hetre,23,,,,
Reserve Naturelle Regionale Tourbiere des Saisies Beaufortain Val d'Arly,2025,2MA00423,27/02/2025,45.767958,6.512054,1673,230,160,Epicea,29,,,,
RB St Guilhem le Desert,2025,SMA17080,27/02/2025,"00.00,00.00","00.00,00.00",0,288,150,Chene pubescent,18,,,,
RNN de Chastreix-Sancy,2025,2MA00313,26/02/2025,2.80620,45.51706,1440,360,170,Hetre,20,,,,
Reserve naturelle nationale du ravin de Valbois,2025,SMA17350,27/02/2025,47.044430,6.061740,480,1510,120,idem 2024,30,,,,
SAleyron,2025,SMA16793,14/02/2025,4.41772,44.36879,375,135,180,Quercus ilex,20,,,,
ENS du Siounet,2025,SMA 17069,14/02/2025,43.71807,6.47542,971,92,155,Fagus sylvatica,220,,,,
ENS Siou Blanc,2025,SMA 17097,10/02/2025,43.263454,5.854054,619,73,150,Quercus pubescens,230,,,,
RNR gorges de Daluis,2025,2MA03108,28/02/2025,6.87725,44.03314,1431,200,170,Pin sylvestre,38,,,,
Rambouillet,2025,2MA02790,28/02/2025,"48,7696299, 1,7115072","48,7696299, 1,7115072",121,90,180,pinus sylvestris,20,,,,
Rnn de la Baie de Canche,2025,SMA16304,14/02/2025,1.63409,50.54100,55,81,165,Pin Maritime,20,,,,
Reserve Naturelle Nationale du Bois du Parc,2025,SMA16837,13/02/2025,3.6494717,47.584658,166,43,148,chene sessile,20.4,,,,
RNCFS La Petite Pierre,2025,SMA17031,04/03/2025,48.83443,7.34087,340,88,160,pin sylvestre,16,,,,
Reserve naturelle de la Tourbiere des Dauges,2025,SMA 16791,26/02/2025,1.41495,46.00695,625,220,170,Chene,18,,,,
Cagna,2025,SMA16672,03/03/2025,48.841900,2.356405,800,70,150,pin maritime,0.50,,,,
RNCFS d'Orlu2,2025,2MA00461,04/03/2025,1.93661,42.67560,1428,0,160,Hetre,65,,,,
Foret de Landevennec,2025,SMA13394,13/02/2025,-4.329646,48.287349,71,70,150,Chene,54,,,,
rncfs belledonne,2025,2MA00265,17/02/2025,6.09816,45.26871,1470,90,160,hetre,22,,,,
rncfs des bauges,2025,2MA00435,12/02/2025,6.20953,45.63476,1340,150,160,bouleau,18,,,,
Foret de la Reine,2025,SMA17346,26/02/2025,5.75166,48.79422,242,58,150,Carpinus betulus,25,,,,
Foret de Crecy-en-Ponthieu,2025,SMA16832,27/02/2025,50.22954,1.830026,2024,2024,140,charme,2024,,,,
RNR Massif du Saint-Barthelemy,2025,2MA005750,20/02/2025,2024,2024,2024,2024,2024,Fagus sylvatica,2024,,,,
Reserve aturelle du Massif du Grand Ventron,2025,2MA00341,19/02/2025,47.956222415671,6.932220278460761,1130,100,130,Sapin pectine,20,,,,
Bout du monde -Gorges de la Sioule,2025,SMA18782,14/02/2025,2.879440,46.008923,507,90,180,Chene sessile,23,,,,
Vallee de l'Orbieu,2025,SMA17110,27/02/2025,2.53108,42.91679,780,90,179,Hetre commun,57,,,,
